,Unnamed: 0,Album,Artist
0,0,Lift Your Skinny Fists Like Antennas to Heaven!,Godspeed You Black Emperor!
1,1,The Complete Peel Sessions 1978-2004,The Fall
2,2,"Live 1966",Bob Dylan
3,3,The Great Deceiver (Pt. I),King Crimson
4,4,Live at Massey Hall 1971,Neil Young
5,5,Either Or,Elliott Smith
6,6,Blackstar,David Bowie
7,7,The Pet Sounds Sessions,The Beach Boys
8,8,Rust Never Sleeps,Neil Young & Crazy HorseNeil YoungCrazy Horse
9,9,"Sunshine Daydream",Grateful Dead
10,10,On the Beach,Neil Young
11,11,Velocity Design Comfort,Sweet Trip
12,12,Live Rust,Neil Young & Crazy HorseNeil YoungCrazy Horse
13,13,Everybody Knows This Is Nowhere,Neil Young with Crazy HorseNeil YoungCrazy Horse
14,14,Unleashed in the East,Judas Priest
15,15,Archive 1967-75,Genesis
16,16,Ys,Joanna Newsom
17,17,Bruce Springsteen & The E Street Band Live 1975-85,Bruce Springsteen & The E Street Band
18,18,Sun Bear Concerts Piano Solo: Recorded in Japan,Keith Jarrett
19,19,The Early Years 1965-1972,Pink Floyd
20,20,Live at the Fillmore East,Neil Young & Crazy HorseNeil YoungCrazy Horse
21,21,The Nightwatch: Live at the Amsterdam Concertgebouw November 23rd 1973,King Crimson
22,22,"Sign ""☮︎"" the Times",Prince
23,23,Rétrospective Vol. 1 & 2,Magma
24,24,Dream Letter: Live in London 1968,Tim Buckley
25,25,"Dick's Picks Volume Eight: Harpur College, Binghamton, NY, May 2, 1970",Grateful Dead
26,26,At the Mountains of Madness,Electric Masada
27,27,Art Blakey and The Jazz Messengers [Moanin'],Art Blakey and The Jazz Messengers
28,28,Die Mensch-Maschine,Kraftwerk
29,29,"Coltrane ""Live"" at the Village Vanguard",John Coltrane
30,30,"Dick's Picks Volume Four: Fillmore East, 2/13-14/70",Grateful Dead
31,31,'77 Live,Les Rallizes Dénudés
32,32,MTV Unplugged,Alice in Chains
33,33,The Noise ザ・ノイズ,Hijokaidan
34,34,Jimi Plays Monterey: Original Motion Picture Sound Track,Jimi Hendrix
35,35,Trans Europa Express,Kraftwerk
36,36,Cowboy Bebop CD-Box,Yoko Kanno / Seatbelts菅野よう子 [Yoko Kanno]Seatbelts
37,37,Boris at Last -Feedbacker-,Boris
38,38,C'era una volta il West,Ennio Morricone
39,39,Donkey Kong Country 2: Diddy's Kong Quest,David Wise
40,40,ゼルダの伝説: ムジュラの仮面 (The Legend of Zelda: Majora's Mask),近藤浩治 [Koji Kondo]
41,41,Mother 2: ギーグの逆襲,田中宏和 [Hirokazu Tanaka] & 鈴木慶一 [Keiichi Suzuki]
42,42,Weld,Neil Young & Crazy HorseNeil YoungCrazy Horse
43,43,Kyuss [Welcome to Sky Valley],Kyuss
44,44,NieR:Automata,岡部啓一 [Keiichi Okabe] & 帆足圭吾 [Keigo Hoashi]
45,45,The Bootleg Series Vol. 6: Live 1964 - Concert at Philharmonic Hall,Bob Dylan
46,46,Ascension [Edition I],John Coltrane
47,47,Tristan und Isolde (Bayreuth 1966),Chor und Orchester der Bayreuther Festspiele / Karl Böhm / Birgit Nilsson / Wolfgang Windgassen / Christa Ludwig / Martti Talvela / Eberhard WaechterOrchester der Bayreuther FestspieleChor der Bayreuther FestspieleKarl BöhmBirgit NilssonWolfgang WindgassenChrista LudwigMartti TalvelaEberhard Waechter
48,48,Black Sabbath Vol. 4,Black Sabbath
49,49,Live Shit: Binge & Purge,Metallica
50,50,ファイナルファンタジーVI (Final Fantasy VI),植松伸夫 [Nobuo Uematsu]
51,51,Tonight's the Night,Neil Young
52,52,The Nocturnes,Artur Rubinstein
53,53,塊魂サウンドトラック「塊フォルテッシモ魂」 (Katamari Damacy Soundtrack: Katamari Fortissimo Damacy),三宅優 [Yuu Miyake]
54,54,Flood,Boris
55,55,Have One on Me,Joanna Newsom
56,56,Fôrça bruta,Jorge Ben
57,57,ニンテンドーDS ポケモン ダイヤモンド&パール スーパーミュージックコレクション  (Nintendo DS Pokémon Diamond & Pearl Super Music Collection),"増田順一 [Junichi Masuda], 一之瀬剛 [Go Ichinose] & 佐藤仁美 [Hitomi Sato]"
58,58,The Bootleg Series Vol. 11: The Basement Tapes - Raw,Bob Dylan and The Band
59,59,Persona5,目黒将司 [Shoji Meguro]
60,60,Jenny Death: The Powers That B Disc 2,Death Grips
61,61,C'era una volta in America,Ennio Morricone
62,62,20 Years of Jethro Tull,Jethro Tull
63,63,12 Hits From Hell: The MSP Sessions,Misfits
64,64,John Lennon / Plastic Ono Band,John Lennon / Plastic Ono Band
